invited,event_hour,event_dow,yes_count,event_train_count,age,is_male,is_en_US,timezone,invite_hour,interested,user,event
0,8,2,0.0,2,22.0,1,0,480.0,15,0,3044012,1918771225
0,11,2,0.0,4,22.0,1,0,480.0,15,0,3044012,1502284248
0,13,4,0.0,187,22.0,1,0,480.0,15,1,3044012,2529072432
0,5,5,0.0,1,22.0,1,0,480.0,15,0,3044012,3072478280
0,3,5,0.0,99,22.0,1,0,480.0,15,0,3044012,1390707377
0,5,5,0.0,96,22.0,1,0,480.0,15,0,3044012,1532377761
0,0,6,0.0,11,14.0,0,1,240.0,1,0,4236494,2352676247
0,7,5,0.0,31,14.0,0,1,240.0,1,1,4236494,152418051
0,0,2,0.0,32,14.0,0,1,240.0,1,1,4236494,4203627753
0,0,1,0.0,6,14.0,0,1,240.0,1,0,4236494,110357109
0,16,3,0.0,11,14.0,0,1,240.0,1,1,4236494,799782433
0,13,3,0.0,21,14.0,0,1,240.0,1,0,4236494,823015621
0,0,6,0.0,11,14.0,0,1,240.0,1,0,4236494,2790605371
0,0,4,0.0,2,30.0,1,1,-360.0,21,1,5574997,941853303
0,1,3,0.0,8,30.0,1,1,-360.0,21,0,5574997,623506969
0,0,0,41.0,13,30.0,1,1,-360.0,21,0,5574997,1116957623
0,0,3,10.0,4,30.0,1,1,-360.0,21,0,5574997,1423412400
0,13,1,0.0,1,30.0,1,1,-360.0,21,0,5574997,1916133216
0,1,3,0.0,8,30.0,1,1,-360.0,21,0,5574997,4227005710
0,18,4,15.0,1,21.0,1,1,270.0,13,0,7547671,3891122666
0,19,4,0.0,1,21.0,1,1,270.0,13,0,7547671,1500808029
0,0,5,0.0,1,21.0,1,1,270.0,13,0,7547671,2573061069
0,18,5,0.0,1,21.0,1,1,270.0,13,1,7547671,1228445722
0,2,5,6.0,1,21.0,1,1,270.0,13,0,7547671,2433864694
0,14,5,0.0,1,21.0,1,1,270.0,13,0,7547671,3428807031
0,0,6,0.0,1,20.0,0,0,420.0,3,0,10329108,1287318780
0,3,6,0.0,1,20.0,0,0,420.0,3,0,10329108,600752472
0,0,4,0.0,1,20.0,0,0,420.0,3,0,10329108,1940922842
